#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"98,877,887",,"1,090,802 ",,"96,231,184",,"1,555,901","2,522","295,021","3,255","1,124,124,211","3,354,034","335,155,906 ",North America,33070,,,"4,642"
2,India,"44,632,430",,"528,913 ",,"44,077,068",,"26,449",698,"31,631",375,"897,877,536","636,318","1,411,051,321 ",Asia,"322,6682",,,19
3,France,"36,268,028",,"155,980 ",,"35,082,194",,"1,029,854",869,"552,834","2,378","271,490,188","4,138,325","65,603,887 ",Europe,24210,,,"15,698"
4,Brazil,"34,796,212",,"687,293 ",,"33,953,433",,"155,486","8,318","161,081","3,182","63,776,166","295,237","216,016,535 ",South America,63143,,,720
5,Germany,"34,758,889",,"151,629 ",,"33,017,800","+81,100","1,589,460","1,406","411,851","1,797","122,332,384","1,449,491","84,396,770 ",Europe,25571,,,"18,833"
6,S. Korea,"25,164,695","+33,190","28,856 ",+5,"24,740,250","+28,455","395,589",247,"489,870",562,"15,804,065","307,651","51,370,100 ",Asia,"21,7803",646,0.10,"7,701"
7,UK,"23,798,793",,"191,681 ",,"23,428,718","+7,770","178,394",146,"346,407","2,790","522,526,476","7,605,712","68,701,852 ",Europe,33580,,,"2,597"
8,Italy,"23,172,370","+58,357","178,194 ",+113,"22,450,969","+59,125","543,207",254,"384,549","2,957","250,486,252","4,156,860","60,258,520 ",Europe,33380,968,2,"9,015"
9,Japan,"21,814,973","+42,294","45,946  ",+56,"20,454,894","+1,578","1,314,133",116,"173,698",366,"76,201,407","606,742","125,591,188 ",Asia,"62,7332",337,0.4,"10,464"
10,Russia,"21,324,431","+9,474","389,084 ",+91,"20,638,610","+20,252","296,737","2,300","145,980","2,664","273,400,000","1,871,608","146,077,577 ",Europe,73751,65,0.6,"2,031"
11,Turkey,"16,919,638",,"101,203 ",,"16,811,829","+3,302","6,606",,"195,793","1,171","162,743,369","1,883,258","86,415,850 ",Asia,58541,,,76
