S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prime Debenture 2088,5,853.00,836.00,853.00,100.00,84075.00,832.30,20.70 ,                                            ,
2,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,915.00,915.00,915.00,75.00,68625.00,928.20,-13.20 ,                                             ,
3,12% ICFC Finance Limited Debenture 2083,1,1025.10,1025.10,1025.10,50.00,51255.00,1005.00,20.10 ,                                            ,
4,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,23,720.00,699.10,720.00,800.00,569151.80,698.00,22.00 ,                                            ,
5,Agricultural Development Bank Limited,164,320.00,312.00,317.90,17351.00,5480341.70,316.00,1.90 ,                                            ,
6,Ankhu Khola Jalvidhyut Company Ltd,65,169.00,165.10,167.00,7894.00,1316215.70,165.00,2.00 ,                                            ,
7,Api Power Company Ltd.,179,206.00,202.00,205.00,27822.00,5701041.10,203.20,1.80 ,                                            ,
8,Arun Kabeli Power Ltd.,135,376.00,366.00,374.00,18480.00,6869677.50,372.00,2.00 ,                                            ,
9,Arun Valley Hydropower Development Co. Ltd.,81,262.40,258.00,261.90,14019.00,3647584.70,258.00,3.90 ,                                            ,
10,Asha Laghubitta Bittiya Sanstha Ltd,14,932.00,915.00,932.00,305.00,281651.00,925.00,7.00 ,                                            ,
11,Asian Life Insurance Co. Limited,39,438.00,429.00,437.00,3413.00,1475232.50,430.00,7.00 ,                                            ,
12,Aviyan Laghubitta Bittiya Sanstha Limited,1125,830.00,764.40,767.10,16958.00,13173753.10,830.20,-63.10 ,                                             ,
13,Balephi Hydropower Limited,68,243.00,225.90,236.60,3110.00,724898.00,230.40,6.20 ,                                            ,
14,Barun Hydropower Co. Ltd.,41,206.00,201.00,204.00,3580.00,723652.90,204.00,0.00 ,                                            ,
15,Best Finance Company Ltd.,203,311.80,299.50,308.00,24705.00,7550393.80,318.10,-10.10 ,                                             ,
16,Bindhyabasini Hydropower Development Company Limited,40,330.30,317.00,327.00,770.00,248493.00,336.60,-9.60 ,                                             ,
17,Bottlers Nepal (Terai) Limited,1,12100.00,12100.00,12100.00,11.00,133100.00,12201.00,-101.00 ,                                             ,
18,Buddha Bhumi Nepal Hydropower Company Limited,9,351.90,343.00,351.90,90.00,30985.00,349.00,2.90 ,                                            ,
19,Butwal Power Company Limited,47,296.00,292.00,294.00,2949.00,864684.50,292.20,1.80 ,                                            ,
20,CEDB Hydropower Development Company Limited,66,611.70,595.00,595.00,4145.00,2482257.50,599.90,-4.90 ,                                             ,
Page 1/11 12345678910Next›Last»
Total Amount Rs.,"516,770,817"
Total Quantity,"1,536,205"
Total No of Transactions,"13,067"
