S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prime Debenture 2088,2,835.00,829.20,829.20,55.00,45780.00,825.50,3.70 
2,10.5 % NEPAL INVESTMENT DEBENTURE 2082,2,915.00,915.00,915.00,100.00,91500.00,912.10,2.90 
3,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,15,744.00,720.00,720.00,245.00,179854.00,730.00,-10.00 
4,Agricultural Development Bank Limited,143,326.00,318.00,319.00,12711.00,4061403.70,324.00,-5.00 
5,Ankhu Khola Jalvidhyut Company Ltd,141,180.90,176.00,176.00,21543.00,3829292.70,179.90,-3.90 
6,Api Power Company Ltd.,385,220.00,212.00,214.00,76588.00,16539567.80,215.50,-1.50 
7,Arun Kabeli Power Ltd.,620,414.00,397.00,399.00,85959.00,34540493.40,407.90,-8.90 
8,Arun Valley Hydropower Development Co. Ltd.,170,280.00,272.00,275.00,29442.00,8109787.90,278.00,-3.00 
9,Asha Laghubitta Bittiya Sanstha Ltd,19,980.00,954.00,970.00,642.00,617201.00,988.00,-18.00 
10,Asian Life Insurance Co. Limited,65,460.00,450.00,452.00,6941.00,3151670.90,451.80,0.20 
11,Aviyan Laghubitta Bittiya Sanstha Limited,237,785.00,755.00,759.00,3880.00,2955399.00,785.00,-26.00 
12,Balephi Hydropower Limited,82,252.00,233.60,236.00,3544.00,843028.00,244.00,-8.00 
13,Barun Hydropower Co. Ltd.,17,220.80,212.80,217.00,1147.00,245402.50,216.50,0.50 
14,Best Finance Company Ltd.,79,328.00,319.00,322.10,10261.00,3320099.30,324.90,-2.80 
15,Bindhyabasini Hydropower Development Company Limited,72,340.00,327.10,334.00,7223.00,2396903.00,333.40,0.60 
16,Bishal Bazar Company Limited,11,3313.00,3243.80,3243.80,162.00,530197.60,3377.00,-133.20 
17,Bottlers Nepal (Terai) Limited,5,12160.00,11921.60,12081.00,50.00,604326.00,12164.80,-83.80 
18,Buddha Bhumi Nepal Hydropower Company Limited,18,365.00,351.10,360.00,1000.00,355348.00,365.00,-5.00 
19,Butwal Power Company Limited,50,310.00,305.00,305.10,7142.00,2198457.80,308.00,-2.90 
20,CEDB Hydropower Development Company Limited,56,633.00,615.50,616.00,4542.00,2821707.70,630.00,-14.00 
Page 1/11 12345678910Next›Last»
Total Amount Rs.,"898,891,038"
Total Quantity,"2,765,439"
Total No of Transactions,"18,130"
